URLs,Class
badminton2008.com/938fhnr3?kqgqaEa=vSwtSiemz,bad
mphtadhci5mrdlju.tor2web.org/,bad
stocktradex.com/087gbdv4,bad
walterrosales.com/js/realbusiness/,bad
myhomemusic.net/,bad
aquatixbottle.com/vkZuz9,bad
impot-mailer.it/public/doc-freemobile/free/,bad
tastyteaz.com/l7nkod,bad
shiyunwuliu.com/lx2la,bad
assculturaleincontri.it/,bad
stretchfityoga.co.uk/c-nadukete/update-member.com-us.cgi-bin.webscr.cmd-login-submit/6da777217fe14a74058180b4ff611661/manage/83fc3/,bad
afteryou.fr/oxineg,bad
moonbattracker.com/wp-mails/es/,bad
diputacion.ardinova.com/wp-admin/images/screenshots/5716367236.txt,bad
labadinom.com/data/feeder,bad
altomisimali.com/wp-admin/css/colors/blue/bookmark/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=,bad
nutmegltd.com/store/js/flash/,bad
activexsearch.com/yggv8,bad
myslendersystem.com/cuas/sim.mres/icot.php,bad
megajulhoeletro206.com.br/produtos/41357196,bad
vhlgbcltvbe.work/checkupdate,bad
kapcotool.com/topic/able_disturb_planning.php,bad
mirror3.filefacts.com/d0278fa8947ed54a112893f71917f46a/uTorr<br/>ent.exe,bad
pappatango.com/aol/Gdoccc/verification.php,bad
tuna.fullbodywine.com/,bad
xvideos.com/?k=ariel+rebel,good
healthgrades.com/dentist/dr-james-gelfand-x3pq7/,good
video.barnesandnoble.com/DVD/The-Trouble-with-Harry/Edmund-Gwenn/e/25192831621,good
facebook.com/pages/Les-Brasseurs-RJ/109378919080901,good
sharetv.org/movies/deliver_us_from_eva_2003,good
cmt.com/news/news-in-brief/1667441/lady-antebellum-announce-track-listing-for-new-album-reschedule-ohio-concert.jhtml,good
filmaffinity.com/es/search.php?stype=cast&stext=David+Patrick+Kelly,good
onlinelibrary.wiley.com/doi/10.1002/1520-6696(197310)9:4%3C287::AID-JHBS2300090402%3E3.0.CO;2-F/abstract,good
press.mcs.anl.gov/asmw11/travel/,good
fanfiction.net/s/44500/1/Tenchi_and_Ranma_Together_Forever,good
jazzprofiles.blogspot.com/2010/11/mel-torme-marty-paich-musical-magic.html,good
songkick.com/venues/3172-municipal-auditorium,good
flickr.com/photos/doctorow/781288741/,good
content.usatoday.com/topics/more+stories/John+Mayberry+Jr/1,good
enotes.com/topic/Phoneme,good
angelfire.com/ak2/akeddy/maclean99.html,good
navy.mil/search/display.asp?story_id=60561,good
education.com/schoolfinder/us/california/lake-elsinore/temescal-canyon-high/,good
antioch.il.gov/seniorcenter.html,good
ae911truth.net/supporters.php?g=_ARCHSONLY_,good
facebook.com/people/Leah-Barlow/65900797,good
maxpreps.com/athletes/CyvgWu4m3kO5aLlbTnAdXQ/basketball-winter-07-08/profile-derrick-brown.htm,good
onlineworldofwrestling.com/promotions/independent/,good
genforum.genealogy.com/kirby/page15.html,good
edref.com/college-degrees/engineering/computer-engineering/wisconsin,good
nosorigines.qc.ca/genealogielistfirstname.aspx?ancestor=27&Family=Therrien_85&lng=en,good
